,tracks,albums,shows,episodes,bannedTracks,other
584,"{'artist': 'Benjamin Schrader', 'album': 'The Book Of Mormon', 'track': 'Spooky Mormon Hell Dream'}",,,,,
585,"{'artist': 'BTS', 'album': ""Love Yourself 承 'Her'"", 'track': 'Intro: Serendipity'}",,,,,
586,"{'artist': 'The Front Bottoms', 'album': 'The Front Bottoms', 'track': 'Hooped Earings'}",,,,,
587,"{'artist': 'Nicholas Megalis', 'album': 'Forget It in a Day', 'track': 'Forget It in a Day'}",,,,,
588,"{'artist': 'Jetty Bones', 'album': '-', 'track': '""better""'}",,,,,
589,"{'artist': 'Chase Huglin', 'album': 'You Deserve An Island', 'track': 'Niagara'}",,,,,
590,"{'artist': 'Bear Hands', 'album': 'Distraction', 'track': 'Agora'}",,,,,
591,"{'artist': 'Grouplove', 'album': 'Big Mess', 'track': 'Good Morning'}",,,,,
592,"{'artist': 'PVRIS', 'album': 'You and I', 'track': 'You and I'}",,,,,
593,"{'artist': 'The Kooks', 'album': 'Junk Of The Heart', 'track': 'Junk Of The Heart (Happy)'}",,,,,
594,"{'artist': 'MAX', 'album': 'Love Me Less (feat. Quinn XCII)', 'track': 'Love Me Less (feat. Quinn XCII)'}",,,,,
595,"{'artist': 'TOTO', 'album': 'Toto IV', 'track': 'Rosanna'}",,,,,
596,"{'artist': 'Rex Orange County', 'album': 'Apricot Princess', 'track': 'Nothing'}",,,,,
597,"{'artist': 'Childish Gambino', 'album': 'Kauai', 'track': 'Poke'}",,,,,
598,"{'artist': 'Twenty One Pilots', 'album': 'Twenty One Pilots', 'track': 'Implicit Demand For Proof'}",,,,,
599,"{'artist': 'Clayton James Official', 'album': 'California', 'track': 'California'}",,,,,
600,"{'artist': 'FIDLAR', 'album': 'FIDLAR', 'track': '5 to 9'}",,,,,
601,"{'artist': 'Kesha', 'album': 'Animal', 'track': 'Kiss N Tell'}",,,,,
602,"{'artist': 'Grouplove', 'album': 'Never Trust A Happy Song', 'track': ""Betty's a Bombshell""}",,,,,
603,"{'artist': 'FIDLAR', 'album': 'Too', 'track': '40oz. On Repeat'}",,,,,
604,"{'artist': 'My Chemical Romance', 'album': 'Three Cheers for Sweet Revenge', 'track': 'The Ghost of You'}",,,,,
605,"{'artist': 'Arcade Fire', 'album': 'Funeral', 'track': 'Wake Up'}",,,,,
606,"{'artist': 'Paramore', 'album': 'Riot!', 'track': ""For a Pessimist, I'm Pretty Optimistic""}",,,,,
607,"{'artist': 'Front Porch Step', 'album': 'Aware', 'track': 'Drown'}",,,,,
608,"{'artist': 'Queen', 'album': 'Jazz', 'track': 'Bicycle Race - Remastered 2011'}",,,,,
609,"{'artist': 'Dayglow', 'album': 'Fuzzybrain', 'track': 'False Direction'}",,,,,
610,"{'artist': 'Saint Motel', 'album': 'Voyeur', 'track': 'Daydream / Wetdream / Nightmare'}",,,,,
611,"{'artist': 'Motion City Soundtrack', 'album': 'Commit This To Memory', 'track': ""When You're Around""}",,,,,
612,"{'artist': 'Canadian Softball', 'album': 'Your Validation', 'track': 'Your Validation'}",,,,,
613,"{'artist': 'Moon Taxi', 'album': 'Mountains Beaches Cities', 'track': 'Morocco'}",,,,,
614,"{'artist': 'Bad Suns', 'album': 'Disappear Here', 'track': 'Disappear Here'}",,,,,
615,"{'artist': 'Japanese Breakfast', 'album': 'Psychopomp', 'track': 'The Woman That Loves You'}",,,,,
616,"{'artist': 'BTS', 'album': ""Love Yourself 轉 'Tear'"", 'track': 'Magic Shop'}",,,,,
617,"{'artist': 'Two Door Cinema Club', 'album': 'Beacon', 'track': 'Sun'}",,,,,
618,"{'artist': 'Jared & The Mill', 'album': 'Soul In Mind', 'track': 'Soul In Mind'}",,,,,
619,"{'artist': 'Cavetown', 'album': 'Lemon Boy', 'track': 'Lemon Boy'}",,,,,
620,"{'artist': 'The Front Bottoms', 'album': 'Ann', 'track': 'I Think Your Nose Is Bleeding'}",,,,,
621,"{'artist': 'Typhoon', 'album': 'White Lighter', 'track': 'Young Fathers'}",,,,,
622,"{'artist': 'Brandon Flowers', 'album': 'Still Want You', 'track': 'Still Want You'}",,,,,
623,"{'artist': 'Bring Me The Horizon', 'album': ""That's The Spirit"", 'track': 'True Friends'}",,,,,
624,"{'artist': 'Post Malone', 'album': ""Hollywood's Bleeding"", 'track': 'Circles'}",,,,,
625,"{'artist': 'Coldplay', 'album': 'Viva La Vida or Death and All His Friends', 'track': 'Strawberry Swing'}",,,,,
626,"{'artist': 'Of Mice & Men', 'album': 'Restoring Force: Full Circle', 'track': 'Broken Generation'}",,,,,
627,"{'artist': 'Panic! At The Disco', 'album': 'Pray for the Wicked', 'track': 'The Overpass'}",,,,,
628,"{'artist': 'All Time Low', 'album': 'Put Up or Shut Up (Deluxe Version)', 'track': 'Coffee Shop Soundtrack'}",,,,,
629,"{'artist': 'BTS', 'album': '화양연화 The Most Beautiful Moment In Life: Young Forever', 'track': '불타오르네 FIRE'}",,,,,
630,"{'artist': 'Eric Nam', 'album': 'It’s okay to be sensitive 2 OST Part.1', 'track': 'Love Yourself'}",,,,,
631,"{'artist': 'Two Door Cinema Club', 'album': 'Tourist History', 'track': 'I Can Talk'}",,,,,
632,"{'artist': 'Modest Mouse', 'album': 'The Moon & Antarctica', 'track': '3rd Planet'}",,,,,
633,"{'artist': 'The 1975', 'album': 'A Brief Inquiry Into Online Relationships', 'track': 'I Always Wanna Die (Sometimes)'}",,,,,
634,"{'artist': 'Coast Modern', 'album': 'Guru', 'track': 'Guru'}",,,,,
635,"{'artist': 'Arms Akimbo', 'album': 'Cruel Lovers', 'track': 'Cruel Lovers'}",,,,,
636,"{'artist': 'Mom Jeans.', 'album': 'Best Buds', 'track': 'Scott Pilgrim V. My Gpa'}",,,,,
637,"{'artist': 'Quinn XCII', 'album': 'Two 10s', 'track': 'Two 10s'}",,,,,
638,"{'artist': 'Vitamin String Quartet', 'album': 'VSQ Performs Lana Del Rey', 'track': 'Ride'}",,,,,
639,"{'artist': 'Bo Burnham', 'album': 'Bo Fo Sho', 'track': ""Bo' Fo' Sho'""}",,,,,
640,"{'artist': 'Stop Light Observations', 'album': 'Vol. II', 'track': 'h d w g h ?'}",,,,,
641,"{'artist': 'Lana Del Rey', 'album': 'Born To Die - The Paradise Edition', 'track': 'Dark Paradise'}",,,,,
642,"{'artist': 'Elton John', 'album': 'Honky Chateau', 'track': ""Rocket Man (I Think It's Going To Be A Long, Long Time)""}",,,,,
643,"{'artist': 'The Front Bottoms', 'album': 'Rose', 'track': 'Awkward Conversations'}",,,,,
644,"{'artist': 'HYUKOH', 'album': '22', 'track': 'Comes And Goes'}",,,,,
645,"{'artist': 'No Doubt', 'album': 'The Singles Collection', 'track': 'Underneath It All'}",,,,,
646,"{'artist': 'RM', 'album': 'mono.', 'track': 'seoul (prod. HONNE)'}",,,,,
647,"{'artist': 'Side Saddle', 'album': 'The Astorian', 'track': ""Don't Wait for Him""}",,,,,
648,"{'artist': 'Milo', 'album': 'things that happen at day // things that happen at night', 'track': 'Almond Milk Paradise'}",,,,,
649,"{'artist': 'Band of Horses', 'album': 'Everything All The Time', 'track': 'The Funeral'}",,,,,
650,"{'artist': 'Bo Burnham', 'album': 'Bo Burnham', 'track': ""I'm Bo Yo""}",,,,,
651,"{'artist': 'Portugal. The Man', 'album': 'Woodstock', 'track': 'Mr Lonely (feat. Fat Lip)'}",,,,,
652,"{'artist': 'Gabriel Gundacker', 'album': 'I Wanna Meet Richard Dreyfuss', 'track': 'I Wanna Meet Richard Dreyfuss'}",,,,,
653,"{'artist': 'Bear Hands', 'album': ""You'll Pay For This"", 'track': 'Boss'}",,,,,
654,"{'artist': ""The Mowgli's"", 'album': 'Waiting For The Dawn', 'track': 'Carry Your Will'}",,,,,
655,"{'artist': 'The Plastics', 'album': 'Pyramid', 'track': 'Stereo kids (Reprise)'}",,,,,
656,"{'artist': 'Johnny Cash', 'album': 'Ring Of Fire: The Best Of Johnny Cash', 'track': 'Ring of Fire'}",,,,,
657,"{'artist': 'ROLE MODEL', 'album': 'oh, how perfect', 'track': 'hello!'}",,,,,
658,"{'artist': 'Bazzi', 'album': 'COSMIC', 'track': 'Why'}",,,,,
659,"{'artist': 'BTS', 'album': ""Love Yourself 轉 'Tear'"", 'track': 'Anpanman'}",,,,,
660,"{'artist': 'Rex Orange County', 'album': 'Sunflower', 'track': 'Sunflower'}",,,,,
661,"{'artist': 'The 1975', 'album': 'The 1975', 'track': 'Pressure'}",,,,,
662,"{'artist': 'half•alive', 'album': 'Now, Not Yet', 'track': 'TrusT'}",,,,,
663,"{'artist': 'Ariana Grande', 'album': 'Sweetener', 'track': 'sweetener'}",,,,,
664,"{'artist': 'Frank Iero', 'album': 'Stomachaches', 'track': 'Joyriding'}",,,,,
665,"{'artist': 'EXO', 'album': 'LOTTO - The 3rd Album Repackage', 'track': 'Heaven'}",,,,,
666,"{'artist': 'Pinegrove', 'album': 'Everything so Far', 'track': 'Palisade'}",,,,,
667,"{'artist': 'Cayucas', 'album': 'Jessica WJ', 'track': 'Jessica WJ'}",,,,,
668,"{'artist': 'Grouplove', 'album': 'Spreading Rumours', 'track': 'News to Me'}",,,,,
669,"{'artist': 'alt-J', 'album': 'An Awesome Wave', 'track': 'Ms'}",,,,,
670,"{'artist': 'Priory', 'album': 'Need To Know', 'track': ""Put 'Em Up""}",,,,,
671,"{'artist': 'Kent Jones', 'album': ""Don't Mind"", 'track': ""Don't Mind""}",,,,,
672,"{'artist': 'Twenty One Pilots', 'album': 'Twenty One Pilots', 'track': 'Johnny Boy'}",,,,,
673,"{'artist': 'A$AP Rocky', 'album': 'The Music of Grand Theft Auto V, Vol. 1: Original Music', 'track': 'r - Cali'}",,,,,
674,"{'artist': 'Two Door Cinema Club', 'album': 'False Alarm', 'track': 'Satellite'}",,,,,
675,"{'artist': 'Ed Sheeran', 'album': '5', 'track': 'Sofa'}",,,,,
676,"{'artist': 'Neck Deep', 'album': ""Life's Not Out To Get You"", 'track': 'I Hope This Comes Back To Haunt You'}",,,,,
677,"{'artist': 'Avril Lavigne', 'album': 'Goodbye Lullaby (Expanded Edition)', 'track': 'Smile'}",,,,,
678,"{'artist': 'Pierce The Veil', 'album': 'Circles', 'track': 'Circles'}",,,,,
679,"{'artist': 'Fall Out Boy', 'album': 'Folie à Deux', 'track': 'Headfirst Slide Into Cooperstown On A Bad Bet'}",,,,,
680,"{'artist': 'Jetty Bones', 'album': 'Old Women', 'track': 'No Lover'}",,,,,
681,"{'artist': 'All Time Low', 'album': 'Nothing Personal (Deluxe Version)', 'track': 'A Party Song (The Walk of Shame)'}",,,,,
682,"{'artist': 'Patrick Stump', 'album': 'Truant Wave EP', 'track': 'Spotlight (Oh Nostalgia)'}",,,,,
683,"{'artist': 'Hippo Campus', 'album': 'Landmark', 'track': 'Way It Goes'}",,,,,
684,"{'artist': 'Post Malone', 'album': 'Wow.', 'track': 'Wow.'}",,,,,
685,"{'artist': 'My Chemical Romance', 'album': 'The Black Parade', 'track': 'Teenagers'}",,,,,
686,"{'artist': 'Mom Jeans.', 'album': 'Best Buds', 'track': 'Girl Scout Cookies'}",,,,,
687,"{'artist': 'Lana Del Rey', 'album': 'Born To Die - The Paradise Edition', 'track': 'Born To Die'}",,,,,
688,"{'artist': 'Panic! At The Disco', 'album': 'Pretty. Odd.', 'track': 'Northern Downpour'}",,,,,
689,"{'artist': 'Three Days Grace', 'album': 'One-X', 'track': 'Animal I Have Become'}",,,,,
690,"{'artist': 'McCafferty', 'album': 'Trailer Trash', 'track': 'Trailer Trash'}",,,,,
691,"{'artist': 'Ra Ra Riot', 'album': 'Absolutely', 'track': 'Absolutely'}",,,,,
692,"{'artist': 'Shawn Mendes', 'album': ""If I Can't Have You"", 'track': ""If I Can't Have You""}",,,,,
693,"{'artist': 'Waterparks', 'album': 'FANDOM', 'track': 'Dream Boy'}",,,,,
694,"{'artist': 'Cage The Elephant', 'album': 'Melophobia', 'track': 'Come a Little Closer'}",,,,,
695,"{'artist': 'Tom Rosenthal', 'album': 'Bolu', 'track': ""Don't You Know How Busy and Important I Am?""}",,,,,
696,"{'artist': 'The All-American Rejects', 'album': 'Send Her To Heaven', 'track': 'Gen Why? (DGAF)'}",,,,,
697,"{'artist': 'Never Shout Never', 'album': 'Black Cat', 'track': 'Hey! We OK'}",,,,,
698,"{'artist': 'Males', 'album': 'Run Run Run/MalesMalesMales', 'track': 'So High'}",,,,,
699,"{'artist': 'WALK THE MOON', 'album': 'TALKING IS HARD', 'track': 'Aquaman'}",,,,,
700,"{'artist': 'Stacked Like Pancakes', 'album': 'This Is Us', 'track': 'Money Sucks'}",,,,,
701,"{'artist': 'Watsky', 'album': 'Cardboard Castles', 'track': 'Moral Of The Story'}",,,,,
702,"{'artist': 'Cavetown', 'album': 'Animal Kingdom: Jackson', 'track': 'Hug All Ur Friends'}",,,,,
703,"{'artist': 'Tears For Fears', 'album': 'Songs From The Big Chair', 'track': 'Everybody Wants To Rule The World'}",,,,,
704,"{'artist': 'BTS', 'album': 'MAP OF THE SOUL : PERSONA', 'track': 'Make It Right'}",,,,,
705,"{'artist': 'half•alive', 'album': 'ok ok?', 'track': 'ok ok?'}",,,,,
706,"{'artist': 'Chris Jobe', 'album': 'Thank You Internet', 'track': 'Thank You Internet'}",,,,,
707,"{'artist': 'Twenty One Pilots', 'album': 'Blurryface', 'track': 'Heavydirtysoul'}",,,,,
708,"{'artist': 'Panic! At The Disco', 'album': 'Pretty. Odd.', 'track': ""The Piano Knows Something I Don't Know""}",,,,,
709,"{'artist': 'Twenty One Pilots', 'album': 'Blurryface', 'track': 'Doubt'}",,,,,
710,"{'artist': 'Bad Suns', 'album': 'Disappear Here', 'track': 'Patience'}",,,,,
711,"{'artist': 'Matt and Kim', 'album': 'WE WERE THE WEIRDOS', 'track': ""Let's Run Away""}",,,,,
712,"{'artist': 'Car Seat Headrest', 'album': 'Teens of Denial', 'track': 'Destroyed By Hippie Powers'}",,,,,
713,"{'artist': 'Jon Bellion', 'album': 'The Human Condition', 'track': ""80's Films""}",,,,,
714,"{'artist': 'Cute Is What We Aim For', 'album': 'The Same Old Blood Rush With A New Touch', 'track': 'The Curse of Curves'}",,,,,
715,"{'artist': 'Lorde', 'album': 'Pure Heroine', 'track': 'Bravado'}",,,,,
716,"{'artist': 'The Strumbellas', 'album': 'Salvation', 'track': 'Salvation'}",,,,,
717,"{'artist': ""Mashrou' Leila"", 'album': 'Ibn El Leil', 'track': 'Aoede'}",,,,,
718,"{'artist': 'The Beach Boys', 'album': 'Shut Down', 'track': ""Don't Worry Baby - Remastered 2001""}",,,,,
719,"{'artist': 'RALLY', 'album': 'Cherry', 'track': 'Cherry'}",,,,,
720,"{'artist': 'The Vaccines', 'album': 'What Did You Expect from the Vaccines?', 'track': 'Norgaard'}",,,,,
721,"{'artist': ""Emily's Army"", 'album': 'Lost At Seventeen', 'track': 'War'}",,,,,
722,"{'artist': 'All Time Low', 'album': ""So Wrong, It's Right (Deluxe Version)"", 'track': 'Dear Maria, Count Me In'}",,,,,
723,"{'artist': 'The Format', 'album': 'Interventions and Lullabies', 'track': 'Give It Up'}",,,,,
724,"{'artist': 'COIN', 'album': 'Growing Pains', 'track': 'Growing Pains'}",,,,,
725,"{'artist': 'Dwayne Johnson', 'album': 'Moana', 'track': ""You're Welcome""}",,,,,
726,"{'artist': 'Fall Out Boy', 'album': 'The Last Of The Real Ones', 'track': 'The Last Of The Real Ones'}",,,,,
727,"{'artist': 'The Killers', 'album': 'Hot Fuss', 'track': 'Somebody Told Me'}",,,,,
728,"{'artist': 'HUNNY', 'album': 'Pain / Ache / Loving', 'track': 'Natalie'}",,,,,
729,"{'artist': 'MARINA', 'album': 'Froot', 'track': 'Blue'}",,,,,
730,"{'artist': 'Real Friends', 'album': ""Maybe This Place Is the Same and We're Just Changing"", 'track': 'Summer'}",,,,,
731,"{'artist': 'Saint Motel', 'album': 'saintmotelevision', 'track': 'Local Long Distance Relationship (LA2NY)'}",,,,,
732,"{'artist': 'Maps & Atlases', 'album': 'You And Me And The Mountain', 'track': 'Artichokes'}",,,,,
733,"{'artist': 'Young the Giant', 'album': 'Mirror Master', 'track': 'Superposition'}",,,,,
734,"{'artist': 'Never Shout Never', 'album': 'Harmony', 'track': 'lovesick'}",,,,,
735,"{'artist': 'Spencer Sutherland', 'album': 'NONE of this has been about you', 'track': 'NONE of this has been about you'}",,,,,
736,"{'artist': 'Lil Nas X', 'album': 'Old Town Road (feat. RM of BTS)', 'track': 'Old Town Road (feat. RM of BTS) - Seoul Town Road Remix'}",,,,,
737,"{'artist': 'The Brobecks', 'album': 'Violent Things', 'track': 'All Of The Drugs'}",,,,,
738,"{'artist': 'Fall Out Boy', 'album': 'Folie à Deux', 'track': ""(Coffee's For Closers)""}",,,,,
739,"{'artist': ""Plain White T's"", 'album': 'All That We Needed', 'track': 'Hey There Delilah'}",,,,,
740,"{'artist': 'Modern Baseball', 'album': 'Sports', 'track': 'Re-Done'}",,,,,
741,"{'artist': 'Lemon Demon', 'album': 'Nature Tapes', 'track': 'A Mask of My Own Face'}",,,,,
742,"{'artist': 'AJR', 'album': 'The Click', 'track': 'The Good Part'}",,,,,
743,"{'artist': 'Panic! At The Disco', 'album': 'Pray for the Wicked', 'track': ""Dancing's Not a Crime""}",,,,,
744,"{'artist': 'MisterWives', 'album': 'mini bloom', 'track': 'whywhywhy'}",,,,,
745,"{'artist': 'The Front Bottoms', 'album': 'Talon Of The Hawk', 'track': 'Twin Size Mattress'}",,,,,
746,"{'artist': 'Bo Burnham', 'album': 'what.', 'track': 'Nerds - Studio'}",,,,,
747,"{'artist': 'OK Go', 'album': 'Oh No', 'track': 'Here It Goes Again'}",,,,,
748,"{'artist': 'You Me At Six', 'album': 'Pray for Me (Alexis Troy Remix)', 'track': 'Pray for Me - Alexis Troy Remix'}",,,,,
749,"{'artist': 'Hotel Books', 'album': 'Run Wild, Young Beauty', 'track': 'July (Part One)'}",,,,,
750,"{'artist': 'Brandtson', 'album': 'Hello, Control', 'track': 'Earthquakes and Sharks'}",,,,,
751,"{'artist': 'Fall Out Boy', 'album': 'Folie à Deux', 'track': '20 Dollar Nose Bleed'}",,,,,
752,"{'artist': 'Every Avenue', 'album': 'Picture Perfect', 'track': ""Tell Me I'm A Wreck""}",,,,,
753,"{'artist': 'Bad Suns', 'album': 'Disappear Here', 'track': 'Outskirts Of Paradise'}",,,,,
754,"{'artist': 'Watsky', 'album': 'x Infinity', 'track': 'Yes Britannia'}",,,,,
755,"{'artist': 'Arctic Monkeys', 'album': ""Why'd You Only Call Me When You're High?"", 'track': 'Stop The World I Wanna Get Off With You'}",,,,,
756,"{'artist': 'Will Joseph Cook', 'album': 'Sweet Dreamer', 'track': 'Take Me Dancing'}",,,,,
757,"{'artist': 'flor', 'album': 'slow motion', 'track': 'slow motion'}",,,,,
758,"{'artist': 'Twenty One Pilots', 'album': 'Twenty One Pilots', 'track': 'Isle Of Flightless Birds'}",,,,,
759,"{'artist': 'Rex Orange County', 'album': 'Bcos U Will Never B Free', 'track': 'Belly (The Grass Stains)'}",,,,,
760,"{'artist': 'Coldplay', 'album': 'X&Y', 'track': 'Fix You'}",,,,,
761,"{'artist': 'All Time Low', 'album': 'Nothing Personal (Deluxe Version)', 'track': 'Weightless'}",,,,,
762,"{'artist': 'Shawn Mendes', 'album': 'Shawn Mendes', 'track': 'Mutual'}",,,,,
763,"{'artist': 'Wild Party', 'album': 'Phantom Pop', 'track': ""Walkin'""}",,,,,
764,"{'artist': 'Foreign Fields', 'album': 'I', 'track': 'I'}",,,,,
765,"{'artist': 'Will Joseph Cook', 'album': 'The Dragon', 'track': 'The Dragon'}",,,,,
766,"{'artist': 'Joywave', 'album': 'Koda Vista', 'track': 'Anemone'}",,,,,
767,"{'artist': 'Sledding With Tigers', 'album': 'A Necessary Bummer', 'track': 'Not so Body Posi After All'}",,,,,
768,"{'artist': 'Panic! At The Disco', 'album': 'Spotify Singles', 'track': 'Hey Ya! - Recorded at Spotify Studios NYC'}",,,,,
769,"{'artist': 'Paramore', 'album': 'After Laughter', 'track': 'Rose-Colored Boy'}",,,,,
770,"{'artist': 'Mumford & Sons', 'album': 'Sigh No More', 'track': 'The Cave'}",,,,,
771,"{'artist': 'Watsky', 'album': 'All You Can Do', 'track': 'Whoa Whoa Whoa'}",,,,,
772,"{'artist': 'The 1975', 'album': 'The 1975', 'track': 'The City'}",,,,,
773,"{'artist': 'Fall Out Boy', 'album': 'Take This To Your Grave', 'track': 'Calm Before the Storm'}",,,,,
774,"{'artist': 'The 1975', 'album': 'Sincerity Is Scary', 'track': 'Sincerity Is Scary'}",,,,,
775,"{'artist': 'The Front Bottoms', 'album': 'Rose', 'track': '12 Feet Deep'}",,,,,
776,"{'artist': 'Pinegrove', 'album': 'Cardinal', 'track': 'Visiting'}",,,,,
777,"{'artist': 'push baby', 'album': 'woah', 'track': 'i think i love you (but i dont like you)'}",,,,,
778,"{'artist': 'Death Cab for Cutie', 'album': 'Plans', 'track': 'I Will Follow You Into The Dark'}",,,,,
779,"{'artist': 'Maroon 5', 'album': 'Wait', 'track': 'Wait - Chromeo Remix'}",,,,,
780,"{'artist': 'Modern Baseball', 'album': ""You're Gonna Miss It All"", 'track': 'Charlie Black'}",,,,,
781,"{'artist': 'Fickle Friends', 'album': 'You Are Someone Else', 'track': 'Hard To Be Myself'}",,,,,
782,"{'artist': 'Ricky Montgomery', 'album': 'Montgomery Ricky', 'track': 'This December'}",,,,,
783,"{'artist': 'Fall Out Boy', 'album': 'From Under The Cork Tree', 'track': '7 Minutes In Heaven (Atavan Halen)'}",,,,,
784,"{'artist': 'All Time Low', 'album': 'Nothing Personal (Deluxe Version)', 'track': 'Lost In Stereo'}",,,,,
785,"{'artist': 'Twenty One Pilots', 'album': 'Vessel', 'track': 'Holding on to You'}",,,,,
786,"{'artist': 'Chousand', 'album': 'Ten Years Too Late', 'track': 'Wizard Wig'}",,,,,
787,"{'artist': 'Fergie', 'album': 'The Dutchess', 'track': ""Big Girls Don't Cry (Personal)""}",,,,,
788,"{'artist': 'Mainland', 'album': 'Outcast', 'track': 'Outcast'}",,,,,
789,"{'artist': 'Joywave', 'album': 'Shutdown', 'track': 'Shutdown'}",,,,,
790,"{'artist': ""The La's"", 'album': ""The La's"", 'track': 'There She Goes'}",,,,,
791,"{'artist': 'Mindless Self Indulgence', 'album': 'If', 'track': 'Get It Up'}",,,,,
792,"{'artist': 'CRUISR', 'album': 'All Over', 'track': 'All Over'}",,,,,
793,"{'artist': 'Panic! At The Disco', 'album': 'Too Weird To Live, Too Rare To Die!', 'track': 'This Is Gospel'}",,,,,
794,"{'artist': 'Miami Horror', 'album': 'Illumination', 'track': 'Imagination'}",,,,,
795,"{'artist': 'The Front Bottoms', 'album': 'The Front Bottoms', 'track': 'The Beers'}",,,,,
796,"{'artist': 'BTS', 'album': ""Love Yourself 結 'Answer'"", 'track': 'Trivia 起 : Just Dance'}",,,,,
797,"{'artist': 'PWR BTTM', 'album': 'Ugly Cherries', 'track': '1994'}",,,,,
798,"{'artist': 'Car Seat Headrest', 'album': 'Beach Life-In-Death', 'track': 'Beach Life-In-Death'}",,,,,
799,"{'artist': 'Analog Rebellion', 'album': 'Full Frontal', 'track': 'Nothing Is Wrong'}",,,,,
800,"{'artist': 'Bo Burnham', 'album': 'what.', 'track': 'We Think We Know You'}",,,,,
801,"{'artist': 'My Chemical Romance', 'album': 'The Black Parade Is Dead!', 'track': 'Blood - End Credits'}",,,,,
802,"{'artist': 'DREAMERS', 'album': 'You Are Here', 'track': 'Wolves (You Got Me)'}",,,,,
803,"{'artist': 'Young the Giant', 'album': 'Young The Giant', 'track': 'My Body'}",,,,,
804,"{'artist': 'Alaska Thunderfuck', 'album': 'Poundcake', 'track': 'The T (feat. Adore Delano)'}",,,,,
805,"{'artist': 'The Wombats', 'album': 'B - Z Sides (2003 - 2017) [In Rough Chronological Order]', 'track': 'Mosquito on the Wall'}",,,,,
806,"{'artist': 'Chance the Rapper', 'album': 'Coloring Book', 'track': 'Juke Jam (feat. Justin Bieber & Towkio)'}",,,,,
807,"{'artist': 'Real Friends', 'album': 'The Home Inside My Head', 'track': 'Empty Picture Frames'}",,,,,
808,"{'artist': '3OH!3', 'album': 'WANT', 'track': 'STILLAROUND'}",,,,,
809,"{'artist': 'Bad Suns', 'album': 'Language & Perspective', 'track': 'Learn to Trust'}",,,,,
810,"{'artist': 'Coldplay', 'album': 'Everyday Life', 'track': 'BrokEn'}",,,,,
811,"{'artist': 'Ariana Grande', 'album': 'Dangerous Woman', 'track': 'Side To Side'}",,,,,
812,"{'artist': 'fun.', 'album': 'Aim and Ignite', 'track': 'The Gambler'}",,,,,
813,"{'artist': 'Mike Golden & Friends', 'album': 'Groceries', 'track': 'Pancakes & Beer'}",,,,,
814,"{'artist': 'Father John Misty', 'album': 'I Love You, Honeybear', 'track': 'Chateau Lobby #4 (in C for Two Virgins)'}",,,,,
815,"{'artist': 'Neutral Milk Hotel', 'album': 'In the Aeroplane Over the Sea', 'track': 'Oh Comely'}",,,,,
816,"{'artist': 'WALK THE MOON', 'album': 'What If Nothing', 'track': 'Lost In The Wild'}",,,,,
817,"{'artist': 'Jared & The Mill', 'album': 'Feels Like', 'track': 'Feels Like'}",,,,,
818,"{'artist': 'The Front Bottoms', 'album': 'Going Grey', 'track': 'Bae'}",,,,,
819,"{'artist': 'PWR BTTM', 'album': 'Ugly Cherries', 'track': 'Serving Goffman'}",,,,,
820,"{'artist': 'Vampire Weekend', 'album': 'Modern Vampires of the City', 'track': 'Obvious Bicycle'}",,,,,
821,"{'artist': 'The Front Bottoms', 'album': 'Going Grey', 'track': 'Everyone But You'}",,,,,
822,"{'artist': 'MisterWives', 'album': 'Our Own House', 'track': 'Our Own House'}",,,,,
823,"{'artist': 'Beach Weather', 'album': 'What a Drag', 'track': 'Swoon'}",,,,,
824,"{'artist': 'Neck Deep', 'album': 'December', 'track': 'December (again) [feat. Mark Hoppus]'}",,,,,
825,"{'artist': 'Joywave', 'album': 'Like a Kennedy', 'track': 'Like a Kennedy'}",,,,,
826,"{'artist': 'flor', 'album': ""come out. you're hiding"", 'track': 'restless soul'}",,,,,
827,"{'artist': 'OK Go', 'album': 'Of the Blue Colour of the Sky (Extra Nice Edition)', 'track': 'This Too Shall Pass'}",,,,,
828,"{'artist': 'Panic! At The Disco', 'album': ""A Fever You Can't Sweat Out"", 'track': 'Camisado'}",,,,,
829,"{'artist': 'Joywave', 'album': 'How Do You Feel Now?', 'track': 'Somebody New'}",,,,,
830,"{'artist': 'Sundara Karma', 'album': 'Flame', 'track': 'Flame'}",,,,,
831,"{'artist': 'Moose Blood', 'album': 'Knuckles', 'track': 'Knuckles'}",,,,,
832,"{'artist': 'Hrvrd', 'album': ""From The Bird's Cage"", 'track': 'Black Creme'}",,,,,
833,"{'artist': 'MGMT', 'album': 'Oracular Spectacular', 'track': 'Electric Feel'}",,,,,
834,"{'artist': 'Mumford & Sons', 'album': 'Hot Gates', 'track': 'Hot Gates'}",,,,,
835,"{'artist': 'The Academy Is...', 'album': 'Fast Times At Barrington High', 'track': 'About a Girl'}",,,,,
836,"{'artist': 'Modern Baseball', 'album': 'Holy Ghost', 'track': ""Apple Cider, I Don't Mind""}",,,,,
837,"{'artist': 'Reik', 'album': 'Me Niego (feat. Ozuna & Wisin)', 'track': 'Me Niego (feat. Ozuna & Wisin)'}",,,,,
838,"{'artist': 'We The Kings', 'album': 'Sunshine State of Mind', 'track': 'Say You Like Me'}",,,,,
839,"{'artist': 'Jetty Bones', 'album': 'Crucial States', 'track': 'Coasting Lines'}",,,,,
840,"{'artist': 'lovelytheband', 'album': 'finding it hard to smile', 'track': 'make you feel pretty'}",,,,,
